Sujeto,Propiedad
301,plátano
301,pera
301,manzana
301,limón
301,sandía
301,melón
301,costilla
301,cerdo
301,sopa
301,filete
301,ternera
301,pavo
301,pollo
301,pescado
302,chicha
302,arroz
302,jamón
302,hamburguesa
302,patata
302,perrito caliente
302,pizza
302,bizcocho
302,chocolate
303,pollo
303,arroz
303,ensalada
303,hamburguesa
303,bacon
303,tortilla
303,patata
303,pan
303,chocolate
303,bizcocho
304,espaguetis
304,paella
304,macarrones
304,sopa
304,cocido
304,huevo
304,patata
304,tortilla
304,plátano
304,pera
304,melocotón
305,espaguetis
305,pizza
305,sopa
305,ensalada
305,verdura
305,pollo
305,ternera
306,espaguetis
306,macarrones
306,salchicha
306,croqueta
306,hamburguesa
306,pescado
306,merluza
307,macarrones
307,judía
307,lenteja
307,albóndiga
307,arroz
307,espaguetis
307,pollo
307,patata
307,tortilla
308,pan
308,arroz
308,agua
308,miel
308,magdalenas
308,manzana
308,tomate
309,espaguetis
309,pasta
309,guisante
309,pimientos
309,berenjena
309,pasta
309,pollo
309,ensalada
309,tomate
309,judía
309,lechuga
309,marisco
310,espaguetis
310,arroz
310,zanahoria
310,yogurt
310,salsa
310,pollo
310,azúcar
310,arroz
311,tortilla
311,lenteja
311,garbanzo
311,san Jacobo
311,pollo
311,paella
311,chuleta
311,calamares
311,jamón
311,champiñón
312,patata
312,macarrones
312,lenteja
312,potaje
312,albóndiga
312,espaguetis
312,pizza
312,hamburguesa
312,pollo
312,pan
313,espaguetis
313,macarrones
313,fideo
313,garbanzo
313,tomate
313,pepino
313,vino
314,habichuelas
314,cocido
314,potaje
314,jamón
314,queso
315,espaguetis
315,macarrones
315,pollo
315,estofado
315,lenteja
315,carne
315,sopa
315,conejo
315,ensalada
315,huevo
315,pera
315,manzana
315,kiwi
315,sandía
315,melón
316,verdura
316,arroz
316,espaguetis
316,macarrones
317,macarrones
317,tortilla
317,pescado
317,arroz
317,sopa
317,salchichón
317,chorizo
317,lenteja
317,lasaña
317,coliflor
317,espaguetis
318,espinacas
318,garbanzo
318,lenteja
318,cocido
318,carne
318,pollo
318,arroz
319,sopa
319,lenteja
319,garbanzo
319,judía
319,pollo
319,zanahoria
319,patata
320,sopa
320,verdura
320,coliflor
320,garbanzo
320,judía
320,arroz
320,pan
320,pera
321,macarrones
321,sopa
321,gachas
321,espaguetis
321,arroz
321,paella
321,fideo
321,lasaña
321,croqueta
321,patata
322,sopa
322,queso
322,tortilla
322,huevo
322,arroz
322,macarrones
322,habichuelas
322,ensalada
322,tomate
322,pepino
322,naranja
322,plátano
323,espaguetis
323,macarrones
323,arroz
323,pollo
323,huevo
324,arroz
324,lenteja
324,garbanzo
324,espaguetis
324,macarrones
324,pan
324,chuches
324,aceitunas
324,patata
325,lenteja
325,habichuelas
325,arroz
325,huevo
325,lenteja
325,fruta
325,pera
325,manzana
325,naranja
325,pepino
326,bocadillo
326,secreto
326,sopa
326,crema
326,chuleta
326,pescado
327,patata
327,espaguetis
327,macarrones
327,arroz
327,pollo
327,tomate
